"cluster","compound","treatment","area","filename","mz","rt"
"12","8","Tote_1",61319405.6148482,"230213_Smp_T0Tote_1.mzML",61.0404175856282,350.5224609375
"12","8","Tote_2",14580244.4567876,"230213_Smp_T0Tote_2.mzML",61.0404294401338,349.553771972656
"12","8","Tote_3",107265141.117169,"230213_Smp_T0Tote_3.mzML",61.0404491294416,347.831878662109
"12","8","Tote_4",77399608.2328464,"230213_Smp_T0Tote_4.mzML",61.0404403829006,350.441101074219
"12","8","C_1",15822596.1652836,"230213_Smp_TfinalC_1.mzML",61.0404255519756,354.072662353516
"12","8","C_2",13822640.5838349,"230213_Smp_TfinalC_2.mzML",61.0403924969509,345.696075439453
"12","8","C_3",38446357.3913015,"230213_Smp_TfinalC_3.mzML",61.0404158966942,351.326232910156
"12","8","N_1",15275760.6259926,"230213_Smp_TfinalN_1.mzML",61.0404396061163,346.536376953125
"12","8","N_2",10556237.0244469,"230213_Smp_TfinalN_2.mzML",61.040395877246,344.86515
"12","8","N_3",13479148.9844756,"230213_Smp_TfinalN_3.mzML",61.0404373382033,346.643249511719
"12","8","F_1",12370279.2781094,"230213_Smp_TfinalF_1.mzML",61.0404587261026,350.466918945312
"12","8","F_2",10981938.1498011,"230213_Smp_TfinalF_2.mzML",61.0403813812484,346.667663574219
"12","8","F_3",17194617.365462,"230213_Smp_TfinalF_3.mzML",61.0404161070819,349.487823486328
"12","8","NF_1",6393306.06969867,"230213_Smp_TfinalNF_1.mzML",61.0403781167223,348.455322265625
"12","8","NF_2",7805389.67208616,"230213_Smp_TfinalNF_2.mzML",61.0404788662862,354.979064941406
"12","8","NF_3",30320551.3918444,"230213_Smp_TfinalNF_3.mzML",61.0404456613322,350.498870849609
"12","8","NP_1",8605057.1009879,"230213_Smp_TfinalNP_1.mzML",61.0404414804818,333.718963623047
"12","8","NP_2",8643039.18668115,"230213_Smp_TfinalNP_2.mzML",61.0404217057864,347.792175292969
"12","8","NP_3",9147515.97938747,"230213_Smp_TfinalNP_3.mzML",61.0403959799889,348.519897460938
"12","8","NPF_1",14670027.8764155,"230213_Smp_TfinalNPF_1.mzML",61.0404418331105,355.817626953125
"12","8","NPF_2",8133267.131369,"230213_Smp_TfinalNPF_2.mzML",61.0404046178655,352.348175048828
"12","8","NPF_3",10666709.9424849,"230213_Smp_TfinalNPF_3.mzML",61.0404281067738,356.923126220703
"12","8","P_1",11966800.0248255,"230213_Smp_TfinalP_1.mzML",61.0404173200555,350.395477294922
"12","8","P_2",5519067.10034114,"230213_Smp_TfinalP_2.mzML",61.0403621623379,349.66259765625
"12","8","P_3",12115800.8053665,"230213_Smp_TfinalP_3.mzML",61.0404222512269,348.416259765625
"12","8","PF_1",9411026.95321632,"230213_Smp_TfinalPF_1.mzML",61.0404754230296,343.930969238281
"12","8","PF_2",17571058.076369,"230213_Smp_TfinalPF_2.mzML",61.0403855215835,347.740692138672
"12","8","PF_3",27628271.3751854,"230213_Smp_TfinalPF_3.mzML",61.0404516482277,349.593658447266
"3","58","Tote_1",5214080.61811929,"230213_Smp_T0Tote_1.mzML",70.0658679779144,537.099853515625
"3","58","Tote_2",4313109.67171381,"230213_Smp_T0Tote_2.mzML",70.0658569268297,537.901428222656
"3","58","Tote_3",6374824.79243469,"230213_Smp_T0Tote_3.mzML",70.0658902530164,536.197326660156
"3","58","Tote_4",6590590.41781461,"230213_Smp_T0Tote_4.mzML",70.065884076101,534.874633789062
"3","58","C_1",5324998.18149618,"230213_Smp_TfinalC_1.mzML",70.0658442850065,540.984008789062
"3","58","C_2",7047049.58418518,"230213_Smp_TfinalC_2.mzML",70.0658063910866,540.703308105469
