"compound","treatment","area","compound_numeric"
"1","Tote_1",61319405.6148482,8
"2","Tote_2",14580244.4567876,8
"3","Tote_3",107265141.117169,8
"4","Tote_4",77399608.2328464,8
"5","C_1",15822596.1652836,8
"6","C_2",13822640.5838349,8
"7","C_3",38446357.3913015,8
"8","F_1",12370279.2781094,8
"9","F_2",10981938.1498011,8
"10","F_3",17194617.365462,8
"11","N_1",15275760.6259926,8
"12","N_2",10556237.0244469,8
"13","N_3",13479148.9844756,8
"14","NF_1",6393306.06969867,8
"15","NF_2",7805389.67208616,8
"16","NF_3",30320551.3918444,8
"17","NP_1",8605057.1009879,8
"18","NP_2",8643039.18668115,8
"19","NP_3",9147515.97938747,8
"20","NPF_1",14670027.8764155,8
"21","NPF_2",8133267.131369,8
"22","NPF_3",10666709.9424849,8
"23","P_1",11966800.0248255,8
"24","P_2",5519067.10034114,8
"25","P_3",12115800.8053665,8
"26","PF_1",9411026.95321632,8
"27","PF_2",17571058.076369,8
"28","PF_3",27628271.3751854,8
"29","Tote_1",5214080.61811929,58
"30","Tote_2",4313109.67171381,58
"31","Tote_3",6374824.79243469,58
"32","Tote_4",6590590.41781461,58
"33","C_1",5324998.18149618,58
"34","C_2",7047049.58418518,58
"35","C_3",7166303.03284889,58
"36","F_1",6731340.09036352,58
"37","F_2",4294077.23929956,58
"38","F_3",4793264.41868699,58
"39","N_1",7129553.44375852,58
"40","N_2",9039031.76092149,58
"41","N_3",4408152.96223877,58
"42","NF_1",17495324.2815746,58
"43","NF_2",4337184.44912359,58
"44","NF_3",9997059.42039068,58
"45","NP_1",13405432.6591473,58
"46","NP_2",5040696.20668606,58
"47","NP_3",7934014.31122597,58
"48","NPF_1",11582098.4128155,58
"49","NPF_2",8955205.16825273,58
"50","NPF_3",14178973.2706176,58
"51","P_1",5853769.87878729,58
"52","P_2",6159066.04494011,58
"53","P_3",4217765.79448451,58
"54","PF_1",5136438.85157536,58
"55","PF_2",5976520.2329375,58
"56","PF_3",5366969.3614476,58
"57","Tote_1",7303379.24768053,65
"58","Tote_2",10033871.6045394,65
"59","Tote_3",12229727.9012586,65
"60","Tote_4",12326051.5908154,65
"61","C_1",10019586.2341259,65
"62","C_2",10139198.3821749,65
"63","C_3",14043404.8318724,65
"64","F_1",17876650.2726107,65
"65","F_2",7100761.26315439,65
"66","F_3",8587597.98908088,65
"67","N_1",24029703.0677577,65
"68","N_2",22465323.0003081,65
"69","N_3",13952821.7033433,65
"70","NF_1",43683835.3380196,65
"71","NF_2",24893316.5051841,65
"72","NF_3",25192239.1195794,65
"73","NP_1",43067925.9890953,65
"74","NP_2",9066959.46861972,65
"75","NP_3",10269776.1284032,65
"76","NPF_1",31078437.9480351,65
"77","NPF_2",31857517.2027845,65
"78","NPF_3",37247584.5000703,65
"79","P_1",13327046.1759399,65
"80","P_2",4485211.93965325,65
"81","P_3",7930188.67302728,65
"82","PF_1",11425512.3380716,65
"83","PF_2",10651324.1262431,65
"84","PF_3",12722855.3238399,65
"85","Tote_1",288577819.844004,83
"86","Tote_2",646842253.407436,83
"87","Tote_3",182337667.616508,83
"88","Tote_4",72040146.4878032,83
"89","C_1",8863168.81274322,83
"90","C_2",3246133.83749862,83
"91","C_3",1434895.63201951,83
"92","F_1",6741890.47107571,83
"93","F_2",4652401.13225985,83
"94","F_3",6005366.24615192,83
"95","N_1",58068827.9890478,83
"96","N_2",22170700.7946073,83
"97","N_3",13451436.11279,83
"98","NF_1",6661400.95482959,83
"99","NF_2",5656464.77318308,83
"100","NF_3",13983522.6050601,83
"101","NP_1",52616772.0239119,83
"102","NP_2",24777954.4661643,83
"103","NP_3",1323739.77856876,83
"104","NPF_1",21945275.1309843,83
"105","NPF_2",19859536.4692267,83
"106","NPF_3",15629966.0269103,83
"107","P_1",2602381.92284047,83
"108","P_2",12807914.2799488,83
"109","P_3",219306.872349972,83
"110","PF_1",121699642.414234,83
"111","PF_2",4772213.47604852,83
"112","PF_3",160036630.314034,83
"113","Tote_1",37657095.334778,133
"114","Tote_2",110516893.255137,133
"115","Tote_3",21521507.6454549,133
"116","Tote_4",42773030.3792323,133
"117","C_1",26278780.7710516,133
"118","C_2",24091686.8415227,133
"119","C_3",13384000.6793675,133
"120","F_1",66306903.6328956,133
"121","F_2",48097232.5644545,133
"122","F_3",23054266.8232496,133
"123","N_1",189509402.304615,133
"124","N_2",118526513.191339,133
"125","N_3",8519256.80527405,133
"126","NF_1",193027723.359987,133
"127","NF_2",66201452.2415726,133
"128","NF_3",48398923.7715318,133
"129","NP_1",109811693.259538,133
"130","NP_2",31474486.907245,133
"131","NP_3",29115653.9876095,133
"132","NPF_1",103446263.225247,133
"133","NPF_2",146530733.981916,133
"134","NPF_3",138217636.628443,133
"135","P_1",34342707.6015981,133
"136","P_2",51064603.335433,133
"137","P_3",17719731.0086437,133
"138","PF_1",36705879.9226166,133
"139","PF_2",39111655.7765538,133
"140","PF_3",43761532.5917114,133
"141","Tote_1",737175936.087115,144
"142","Tote_2",680044844.533542,144
"143","Tote_3",603727298.07304,144
"144","Tote_4",695304600.805357,144
"145","C_1",657502725.828482,144
"146","C_2",780336547.21955,144
"147","C_3",684190501.431998,144
"148","F_1",686306196.990199,144
"149","F_2",682136438.405015,144
"150","F_3",636150361.130126,144
"151","N_1",671581461.66721,144
"152","N_2",677761425.231639,144
"153","N_3",735490319.060807,144
"154","NF_1",486936193.543603,144
"155","NF_2",672527828.431759,144
"156","NF_3",602614748.032303,144
"157","NP_1",782365088.050649,144
"158","NP_2",676023313.206537,144
"159","NP_3",541461822.468181,144
"160","NPF_1",698692398.798688,144
"161","NPF_2",666192188.772474,144
"162","NPF_3",643568890.682253,144
"163","P_1",728000665.897219,144
"164","P_2",703721636.753446,144
"165","P_3",663156172.739763,144
"166","PF_1",843885887.822696,144
"167","PF_2",664788826.428714,144
"168","PF_3",607104286.977382,144
"169","Tote_1",3095535.19302006,152
"170","Tote_2",1404873.10502573,152
"171","Tote_3",4015695.57892639,152
"172","Tote_4",3865635.29927212,152
"173","C_1",422067.36133318,152
"174","C_2",225640.407745417,152
"175","C_3",219064.226192808,152
"176","F_1",96652.6492053533,152
"177","F_2",630243.320988894,152
"178","F_3",123475.427857761,152
"179","N_1",3077988.12273526,152
"180","N_2",1246198.84012918,152
"181","N_3",62242.5801061094,152
"182","NF_1",722183.313788821,152
"183","NF_2",477024.77517774,152
"184","NF_3",324080.392569331,152
"185","NP_1",1505041.3918148,152
"186","NP_2",579421.356520835,152
"187","NP_3",379812.1193601,152
"188","NPF_1",2702483.97245984,152
"189","NPF_2",1624907.03119126,152
"190","NPF_3",2366678.38410136,152
"191","P_1",333783.733619269,152
"192","P_2",403033.872657156,152
"193","P_3",195377.793987875,152
"194","PF_1",170568.242086396,152
"195","PF_2",302050.272900616,152
"196","PF_3",617579.510434538,152
"197","Tote_1",5317234.63167843,170
"198","Tote_2",18953219.1681624,170
"199","Tote_3",2997859.06627098,170
"200","Tote_4",7937488.32220303,170
"201","C_1",8102963.06833992,170
"202","C_2",12996193.5164552,170
"203","C_3",16106977.4663745,170
"204","F_1",29387528.1484605,170
"205","F_2",18281118.5959843,170
"206","F_3",5728680.4047594,170
"207","N_1",102257700.145111,170
